"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"307","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","River Cracraft (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"322","Russell Gage Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"322","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"322","Steven Sims Jr. (FA)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"322","Parris Campbell (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"322","Malik Turner (SF)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"322","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"329","Phillip Dorsett II (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","DeAndre Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"331","Derius Davis (LAC)","3","0","2","10","5.0","0","0","2","5","0","1","11","-0.5","0.0","0.6%"
"331","Ke'Shawn Williams (CIN)","1","0","1","5","5.0","0","0","2","10","0","1","11","-0.5","0.0","0.1%"
"333","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","1","16","-2.0","-0.1","0.8%"
"333","Mecole Hardman Jr. (BUF)","1","0","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","0.6%"
"333","Jamal Agnew (FA)","0","0","0","0","0","0","0","0","0","0","1","11","-2.0","-0.2","0.0%"
"336","Xavier Gipson (NYG)","2","0","2","6","3.0","0","0","0","0","0","2","6","-3.4","-0.6","1.1%"
"337","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","3","16","-6.0","-0.4","0.6%"
""
""
